"Old Method","New method","p","q","a","Real Time"
293,13.304101205376,1,1,0.5,3
293,13.3448151904583,1,2,0.5,3
293,13.4058861680818,1,3,0.5,3
293,13.3448151904583,2,1,0.5,3
293,13.3855291755406,2,2,0.5,3
293,13.4262431606229,2,3,0.5,3
293,13.3855291755406,3,1,0.5,3
293,13.4262431606229,3,2,0.5,3
293,13.4669571457053,3,3,0.5,3
5,20.7283598066141,1,1,0.7,5.66666666666667
5,12.8527867914575,1,2,0.7,5.66666666666667
5,11.5707167657343,1,3,0.7,5.66666666666667
5,22.132531739549,2,1,0.7,5.66666666666667
5,13.951703956363,2,2,0.7,5.66666666666667
5,11.6317677193401,2,3,0.7,5.66666666666667
5,22.8040922292135,3,1,0.7,5.66666666666667
5,17.7979140335325,3,2,0.7,5.66666666666667
5,11.8149205801577,3,3,0.7,5.66666666666667
8,108.561191784005,1,1,0.9,19
8,14.3077946143431,1,2,0.9,19
8,13.0676183357949,1,3,0.9,19
8,108.871235853642,2,1,0.9,19
8,14.9278827536172,2,2,0.9,19
8,13.0676183357949,2,3,0.9,19
8,109.491323992916,3,1,0.9,19
8,110.11141213219,3,2,0.9,19
8,13.0676183357949,3,3,0.9,19
27,405.269871759375,1,1,0.99,199
27,81.9801078149032,1,2,0.99,199
27,77.1906298305406,1,3,0.99,199
27,410.059349743737,2,1,0.99,199
27,406.467241255465,2,2,0.99,199
27,80.7827383188125,2,3,0.99,199
27,413.651458232009,3,1,0.99,199
27,408.861980247647,3,2,0.99,199
27,87.9669552953563,3,3,0.99,199
